label,x,y,score,class,year,citations,title,doi
Stephen P. Borgatti & Martin G. Everett (2006),6159.24,2691.597,0.002,3,2006,1658,A Graph-theoretic perspective on centrality,10.1016/j.socnet.2005.11.005
Stephen P. Borgatti et al. (2009),7011.587,3800.154,0.065,3,2009,4130,Network Analysis in the Social Sciences,10.1126/science.1165821
Xindong Wu et al. (2013),2595.389,1482.444,0.068,3,2013,2383,Data mining with big data,10.1109/tkde.2013.109
S. D. Berkowitz et al. (1985),8411.689,4529.423,0,3,1985,1738,Social Structure and Network Analysis.,10.2307/2578496
Herminia Ibarra (1993),9097.214,4740.873,0,3,1993,1386,Personal Networks of Women and Minorities in Management: A Conceptual Framework,10.5465/amr.1993.3997507
Devah Pager & Hana Shepherd (2008),10437.201,3589.922,0,3,2008,2002,"The Sociology of Discrimination: Racial Discrimination in Employment, Housing, Credit, and Consumer Markets",10.1146/annurev.soc.33.040406.131740
Michael Omi & Howard Winant (1994),11354.9,2526.594,0,3,1994,6245,Racial Formation in the United States: From the 1960s to the 1990s,
Jonathan Rosa & Nelson Flores (2017),11966.084,1548.901,0,3,2017,1425,Unsettling race and language: Toward a raciolinguistic perspective,10.1017/s0047404517000562
Mary Bucholtz & Kira Hall (2005),12356.154,774.858,0,3,2005,3581,Identity and interaction: a sociocultural linguistic approach,10.1177/1461445605054407
Penelope Eckert (2008),12597.411,166.317,0,3,2008,1919,Variation and the indexical field<sup>1</sup>,10.1111/j.1467-9841.2008.00374.x
Suzanne Romaine (2000),12646.807,12.65,0,3,2000,2686,Sociolinguistic Patterns,10.1093/oso/9780198731924.003.0003
Peter Trudgill (1972),12644.383,15.045,0,3,1972,1433,"Sex, covert prestige and linguistic change in the urban British English of Norwich",10.1017/s0047404500000488
R. Duane Ireland et al. (2003),9978.941,5760.143,0.006,3,2003,1827,A Model of Strategic Entrepreneurship: The Construct and its Dimensions,10.1016/s0149-2063(03)00086-2
Linsu Kim (1997),10183.531,5903.701,0,3,1997,1388,Imitation to Innovation: The Dynamics of Korea's Technological Learning,
Ray Reagans & Ezra W. Zuckerman (2001),9156.845,5387.013,0.012,3,2001,1625,"Networks, Diversity, and Productivity: The Social Capital of Corporate R&amp;D Teams",10.1287/orsc.12.4.502.10637
Henry Mintzberg (1989),9491.184,4676.562,0.002,3,1989,4251,The Structuring of Organizations,10.1007/978-1-349-20317-8_23
Henry Mintzberg (1987),10104.499,4992.239,0,3,1987,1405,The Strategy Concept I: Five Ps for Strategy,10.2307/41165263
Henry Mintzberg (1996),10166.49,5037.854,0,3,1996,1629,Musings on management. Ten ideas designed to rile everyone who cares about management.,
Michael H. Morris et al. (2004),10363.562,5040.554,0,3,2004,2490,The entrepreneur's business model: toward a unified perspective,10.1016/j.jbusres.2003.11.001
Christoph Zott & Raphael Amit (2009),10073.689,5262.017,0,3,2009,2992,Business Model Design: An Activity System Perspective,10.1016/j.lrp.2009.07.004
Andrew Pettigrew (1990),9682.667,4700.775,0,3,1990,4037,Longitudinal Field Research on Change: Theory and Practice,10.1287/orsc.1.3.267
Andrew H. Gold et al. (2001),9618.364,5295.474,0.004,3,2001,5919,Knowledge Management: An Organizational Capabilities Perspective,10.1080/07421222.2001.11045669
Unknown (1997),9339.589,5768.565,0,3,1997,13265,The Knowledge-creating company: How Japanese companies create the dynamics of innovation,10.1016/s0048-7333(97)80234-x
Chun Wei Choo (1996),9496.204,5888.825,0,3,1996,1561,"The knowing organization: How organizations use information to construct meaning, create knowledge and make decisions",10.1016/0268-4012(96)00020-5
William G. Ouchi (1980),9755.757,5379.583,0,3,1980,4657,"Markets, Bureaucracies, and Clans",10.2307/2392231
Rohit Deshpandé & Frederick E. Webster (1989),9935.516,5419.695,0,3,1989,1556,Organizational Culture and Marketing: Defining the Research Agenda,10.2307/1251521
Kim Langfield‐Smith (1997),10428.563,4578.716,0,3,1997,1352,Management control systems and strategy: A critical review,10.1016/s0361-3682(95)00040-2
Teemu Malmi & David A. Brown (2008),10415.671,4667.801,0,3,2008,1667,"Management control systems as a package—Opportunities, challenges and research directions",10.1016/j.mar.2008.09.003
Danny Miller & Peter H. Friesen (1982),9301.771,3734.343,0,3,1982,2707,Innovation in conservative and entrepreneurial firms: Two models of strategic momentum,10.1002/smj.4250030102
John Burns & Robert W. Scapens (2000),10645.346,5254.711,0,3,2000,1512,Conceptualizing management accounting change: an institutional framework,10.1006/mare.1999.0119
Pamela S. Tolbert & Lynne G. Zucker (2012),10808.035,5259.178,0,3,2012,1354,The Institutionalization of Institutional Theory,10.4135/9781446218556.n6
Robert N. Anthony (1965),10615.591,4635.221,0,3,1965,2259,Planning and Control Systems: A Framework for Analysis,
Robert Simons (1994),10766.859,4637.255,0,3,1994,2047,Levers of Control: How Managers Use Innovative Control Systems to Drive Strategic Renewal,
David Otley (1999),10704.894,4626.537,0,3,1999,1982,Performance management: a framework for management control systems research,10.1006/mare.1999.0115
William E. Baker & James M. Sinkula (1999),9201.335,4774.002,0,3,1999,1953,The Synergistic Effect of Market Orientation and Learning Orientation on Organizational Performance,10.1177/0092070399274002
John D. Sterman (1989),7564.626,4002.313,0.008,3,1989,2496,Modeling Managerial Behavior: Misperceptions of Feedback in a Dynamic Decision Making Experiment,10.1287/mnsc.35.3.321
Robert L. Devaney & Jean‐Pierre Eckmann (1987),7627.697,-395.071,0,3,1987,2374,<i>An Introduction to Chaotic Dynamical Systems</i>,10.1063/1.2820117
Benoît B. Mandelbrot (1967),6346.432,-3749.949,0,3,1967,3990,How Long Is the Coast of Britain? Statistical Self-Similarity and Fractional Dimension,10.1126/science.156.3775.636
John Guckenheimer & Philip Holmes (1983),6629.206,-895.876,0,3,1983,16023,"Nonlinear Oscillations, Dynamical Systems, and Bifurcations of Vector Fields",10.1007/978-1-4612-1140-2
Carlos Castillo‐Chávez & Baojun Song (2004),7028.464,-1043.192,0,3,2004,1933,Dynamical Models of Tuberculosis and Their Applications,10.3934/mbe.2004.1.361
Vadim Utkin (1977),8576.353,-3651.207,0.014,5,1977,5280,Variable structure systems with sliding modes,10.1109/tac.1977.1101446
Arjan van der Schaft (1994),9374.986,-3643.301,0,5,1994,1377,Nonlinear systems analysis,10.1016/0005-1098(94)90103-1
Wei Zhang et al. (2001),9441.728,-3814.374,0.002,5,2001,3430,Stability of networked control systems,10.1109/37.898794
Alexandre Seuret & Frédéric Gouaisbaut (2013),10536.235,-3990.648,0,5,2013,2184,Wirtinger-based integral inequality: Application to time-delay systems,10.1016/j.automatica.2013.05.030
PooGyeon Park et al. (2010),11209.057,-4046.134,0,5,2010,2620,Reciprocally convex approach to stability of systems with time-varying delays,10.1016/j.automatica.2010.10.014
Young Soo Moon et al. (2001),11341.664,-4044.928,0,5,2001,1457,Delay-dependent robust stabilization of uncertain state-delayed systems,10.1080/00207170110067116
Francesco Borrelli et al. (2017),9250.368,-2440.71,0.137,5,2017,1406,Predictive Control for Linear and Hybrid Systems,10.1017/9781139061759
Jamal Daafouz et al. (2002),9452.088,-3523.346,0,5,2002,1426,Stability analysis and control synthesis for switched systems: a switched Lyapunov function approach,10.1109/tac.2002.804474
Alberto Bemporad & Manfred Morari (1999),9630.724,-2649.215,0.001,5,1999,3038,"Control of systems integrating logic, dynamics, and constraints",10.1016/s0005-1098(98)00178-2
Rodolphe Sepulchre et al. (1997),9039.966,-3447.405,0,5,1997,2291,Constructive Nonlinear Control,10.1007/978-1-4471-0967-9
P.V. Kokotović et al. (1999),8942.796,-3575.836,0.002,5,1999,2456,Singular Perturbation Methods in Control: Analysis and Design,10.1137/1.9781611971118
Miroslav Krstić et al. (1995),8567.492,-2984.617,0.004,5,1995,10450,Nonlinear and adaptive control design,
Lantao Xing et al. (2016),9581.768,-3962.802,0,5,2016,1454,Event-Triggered Adaptive Control for a Class of Uncertain Nonlinear Systems,10.1109/tac.2016.2594204
Antoine Girard (2014),9922.92,-4073.313,0,5,2014,1864,Dynamic Triggering Mechanisms for Event-Triggered Control,10.1109/tac.2014.2366855
W.P.M.H. Heemels et al. (2012),9668.375,-4002.485,0.004,5,2012,1861,An introduction to event-triggered and self-triggered control,10.1109/cdc.2012.6425820
Marios M. Polycarpou (1996),7168.285,-2498.105,0.005,5,1996,1485,Stable adaptive neural control scheme for nonlinear systems,10.1109/9.486648
D. Swaroop et al. (2000),8561.663,-3495.462,0,5,2000,2351,Dynamic surface control for a class of nonlinear systems,10.1109/tac.2000.880994
Charalampos P. Bechlioulis & George A. Rovithakis (2008),6483.465,-2385.332,0,5,2008,2482,Robust Adaptive Control of Feedback Linearizable MIMO Nonlinear Systems With Prescribed Performance,10.1109/tac.2008.929402
C. Desoer et al. (1975),9082.908,-3671.746,0,5,1975,3251,Feedback Systems: Input-Output Properties,10.1115/1.3426967
Alberto Isidori (1989),7952.837,-3662.25,0.02,5,1989,7897,Nonlinear Control Systems,10.1007/978-3-662-02581-9
W.P.M.H. Heemels et al. (2012),9791.19,-3774.323,0.001,5,2012,1361,Periodic Event-Triggered Control for Linear Systems,10.1109/tac.2012.2220443
Eduardo D. Sontag (1990),9226.723,-3359,0.004,5,1990,3065,Mathematical Control Theory: Deterministic Finite Dimensional Systems,10.1007/978-1-4612-0577-7
Zhong‐Ping Jiang & Yuan Wang (2001),9444.045,-3640.973,0,5,2001,1362,Input-to-state stability for discrete-time nonlinear systems,10.1016/s0005-1098(01)00028-0
D.Q. Mayne (2014),9706.875,-2807.204,0.005,5,2014,1850,Model predictive control: Recent developments and future promise,10.1016/j.automatica.2014.10.128
Dimos V. Dimarogonas et al. (2011),8234.585,-3774.923,0,5,2011,2465,Distributed Event-Triggered Control for Multi-Agent Systems,10.1109/tac.2011.2174666
A. Stephen Morse (1996),9084.225,-3553.038,0.019,5,1996,1461,Supervisory control of families of linear set-point controllers - Part I. Exact matching,10.1109/9.539424
Eduardo D. Sontag (1989),9848.002,-3786.738,0.002,5,1989,2667,Smooth stabilization implies coprime factorization,10.1109/9.28018
R. Brockett (1982),9972.98,-3927.176,0.002,5,1982,2615,Asymptotic Stability and Feedback Stabilization,
Daniel Liberzon (2003),9743.013,-3760.22,0,5,2003,6876,Switching in Systems and Control,10.1007/978-1-4612-0017-8
Raymond A. DeCarlo et al. (2000),8998.161,-3506.016,0.025,5,2000,1620,Perspectives and results on the stability and stabilizability of hybrid systems,10.1109/5.871309
Daniel Liberzon & A. Stephen Morse (1999),9345.984,-3696.349,0.002,5,1999,3606,Basic problems in stability and design of switched systems,10.1109/37.793443
Paulo Tabuada (2007),9640.907,-4062.785,0.002,5,2007,4495,Event-Triggered Real-Time Scheduling of Stabilizing Control Tasks,10.1109/tac.2007.904277
Minyue Fu & Lihua Xie (2005),9754.454,-4069.929,0,5,2005,1616,The sector bound approach to quantized feedback control,10.1109/tac.2005.858689
Nicola Elia & Sanjoy K. Mitter (2001),9169.121,-4231.408,0.005,5,2001,1679,Stabilization of linear systems with limited information,10.1109/9.948466
J.-J.E. Slotine & Shankar Sastry (1983),6760.934,-3972.522,0.025,5,1983,1786,"Tracking control of non-linear systems using sliding surfaces, with application to robot manipulators†",10.1080/00207178308933088
Shankar Sastry (1999),5221.368,-4507.635,0,5,1999,1797,"Nonlinear Systems: Analysis, Stability, and Control",10.1007/978-1-4757-3108-8
Shankar Sastry et al. (1990),5403.458,-4472.792,0,5,1990,2178,"<i>Adaptive Control: Stability, Convergence, and Robustness</i>",10.1121/1.399905
Claudio De Persis & Pietro Tesi (2015),8881.229,-4098.664,0,5,2015,1427,Input-to-State Stabilizing Control Under Denial-of-Service,10.1109/tac.2015.2416924
Yiguang Hong et al. (2006),8276.945,-3061.156,0,5,2006,2034,Tracking control for multi-agent consensus with an active leader and variable topology,10.1016/j.automatica.2006.02.013
J.P. Hespanha et al. (2007),8855.813,-3963.228,0,5,2007,3767,A Survey of Recent Results in Networked Control Systems,10.1109/jproc.2006.887288
Richard M. Murray & Shankar Sastry (1993),6160.427,-4105.623,0.058,5,1993,1771,Nonholonomic motion planning: steering using sinusoids,10.1109/9.277235
Karl Johan Åström & Richard M. Murray (2008),7791.511,-3217.649,0.05,5,2008,2046,Feedback systems: an introduction for scientists and engineers,10.5860/choice.46-2107
Maciejowsk (1990),8096.454,-3405.172,0,5,1990,1449,Multivariable Feedback Design,
Eric Brown et al. (2010),3926.166,-4234.987,0.023,5,2010,1517,Universal robotic gripper based on the jamming of granular material,10.1073/pnas.1003250107
Robert Mahony et al. (2008),6042.774,-4609.66,0.002,5,2008,1657,Nonlinear Complementary Filters on the Special Orthogonal Group,10.1109/tac.2008.923738
Robert J. Webster & Bryan A. Jones (2010),5711.185,-5189.424,0,5,2010,2161,Design and Kinematic Modeling of Constant Curvature Continuum Robots: A Review,10.1177/0278364910368147
Stefan Leutenegger et al. (2014),-3550.061,-5653.01,0.001,0,2014,1664,Keyframe-based visual–inertial odometry using nonlinear optimization,10.1177/0278364914554813
Richard M. Murray et al. (2017),5630.803,-3909.485,0.037,5,2017,6695,A Mathematical Introduction to Robotic Manipulation,10.1201/9781315136370
P.J. McKerrow (1991),3562.721,-794.555,0,5,1991,1725,Introduction to Robotics,
King Sun Fu et al. (1987),7411.607,-5306.872,0.002,5,1987,1640,"Robotics: Control, Sensing, Vision, and Intelligence",
Michael A. Thompson et al. (1981),7922.554,-5670.397,0,5,1981,1639,Digital Image Processing,10.2307/1574313
Rafael C. González et al. (2009),7909.822,-5683.387,0,5,2009,7030,Digital image processing using MATLAB,
Unknown (1982),1443.368,-4467.664,0,0,1982,3254,"Stochastic models, estimation, and control",10.1016/s0076-5392(08)x6186-7
Tixiao Shan et al. (2020),-1148.346,-5321.142,0.007,0,2020,1844,LIO-SAM: Tightly-coupled Lidar Inertial Odometry via Smoothing and Mapping,10.1109/iros45743.2020.9341176
Tong Qin et al. (2018),-3456.633,-5485.418,0.001,0,2018,4231,VINS-Mono: A Robust and Versatile Monocular Visual-Inertial State Estimator,10.1109/tro.2018.2853729
Georg Klein & David W. Murray (2007),-3196.76,-5230.425,0.004,0,2007,4217,Parallel Tracking and Mapping for Small AR Workspaces,10.1109/ismar.2007.4538852
Jianbo Shi & Tomasi (1994),-3111.864,-4595.008,0.004,0,1994,6884,Good features to track,10.1109/cvpr.1994.323794
J.-Y. Bouguet (1999),-3933.409,-4637.947,0,0,1999,1558,Pyramidal implementation of the Lucas Kanade feature tracker description of the algorithm,
Anastasios I. Mourikis & Stergios I. Roumeliotis (2007),-2995.845,-5581.944,0,0,2007,1802,A Multi-State Constraint Kalman Filter for Vision-aided Inertial Navigation,10.1109/robot.2007.364024
Davison (2003),-3462.177,-4968.51,0,0,2003,1712,Real-time simultaneous localisation and mapping with a single camera,10.1109/iccv.2003.1238654
Paul J. Besl & Neil David McKay (1992),-1134.42,-2849.664,0.018,0,1992,17773,A method for registration of 3-D shapes,10.1109/34.121791
Paul J. Besl & Neil David McKay (1992),-3386.977,-2794.332,0,0,1992,2236,&lt;title&gt;Method for registration of 3-D shapes&lt;/title&gt;,10.1117/12.57955
K.S. Arun et al. (1987),-1806.031,-3943.318,0.223,0,1987,3871,Least-Squares Fitting of Two 3-D Point Sets,10.1109/tpami.1987.4767965
Christian Förster et al. (2014),-2775.453,-5495.204,0.002,0,2014,2078,SVO: Fast semi-direct monocular visual odometry,10.1109/icra.2014.6906584
Michael H. Dickinson et al. (1999),6264.479,-5303.279,0,5,1999,2601,Wing Rotation and the Aerodynamic Basis of Insect Flight,10.1126/science.284.5422.1954
Jun Shintake et al. (2018),5770.824,-5763.83,0,5,2018,1758,Soft Robotic Grippers,10.1002/adma.201707035
Panagiotis Polygerinos et al. (2014),6602.823,-6284.569,0.001,5,2014,1545,Soft robotic glove for combined assistance and at-home rehabilitation,10.1016/j.robot.2014.08.014
Joseph T. Muth et al. (2014),6216.266,-6374.936,0.007,5,2014,1577,Embedded 3D Printing of Strain Sensors within Highly Stretchable Elastomers,10.1002/adma.201400334
Michael Wehner et al. (2016),6156.285,-6579.894,0.011,5,2016,2048,"An integrated design and fabrication strategy for entirely soft, autonomous robots",10.1038/nature19100
Wenwu Yu et al. (2010),8606.09,-2393.678,0.001,5,2010,1370,Some necessary and sufficient conditions for second-order consensus in multi-agent dynamical systems,10.1016/j.automatica.2010.03.006
Wei Ren (2008),8641.649,-3080.382,0,5,2008,1407,On Consensus Algorithms for Double-Integrator Dynamics,10.1109/tac.2008.924961
Morris H. DeGroot (1974),8121.401,-2110.123,0,5,1974,3439,Reaching a Consensus,10.1080/01621459.1974.10480137
Herbert G. Tanner et al. (2007),8013.016,-3180.24,0.002,5,2007,1427,Flocking in Fixed and Switching Networks,10.1109/tac.2007.895948
Michael W. Macy & Robert Willer (2002),6308.424,2701.903,0.036,2,2002,1430,From Factors to Actors: Computational Sociology and Agent-Based Modeling,10.1146/annurev.soc.28.110601.141117
Jur van den Berg et al. (2011),4424.544,-3177.909,0,5,2011,1781,Reciprocal n-Body Collision Avoidance,10.1007/978-3-642-19457-3_1
Mark de Berg et al. (1997),3784.273,-1742.336,0,5,1997,4497,Computational Geometry: Algorithms and Applications,10.1007/978-3-662-04245-8
Iain D. Couzin et al. (2002),8088.471,-2046.693,0,5,2002,2128,Collective Memory and Spatial Sorting in Animal Groups,10.1006/jtbi.2002.3065
Volker Grimm et al. (2005),7515.2,-918.752,0,1,2005,2142,Pattern-Oriented Modeling of Agent-Based Complex Systems: Lessons from Ecology,10.1126/science.1116681
Unknown (1997),6632.466,1206.499,0,2,1997,1675,Growing artificial societies: Social science from the bottom up,10.1016/s0898-1221(97)82923-9
Daniel C. Dennett (1995),7310.24,2501.786,0,1,1995,2007,Darwin's dangerous idea : evolution and the meanings of life,
Luc Moreau (2005),8479.196,-3032.838,0,5,2005,2715,Stability of multiagent systems with time-dependent communication links,10.1109/tac.2004.841888
Wei Ni & Daizhan Cheng (2010),8517.613,-3019.292,0,5,2010,1447,Leader-following consensus of multi-agent systems under fixed and switching topologies,10.1016/j.sysconle.2010.01.006
Reza Olfati‐Saber (2006),7935.579,-2957.569,0.022,5,2006,4935,Flocking for Multi-Agent Dynamic Systems: Algorithms and Theory,10.1109/tac.2005.864190
Yongcan Cao et al. (2012),8215.041,-2617.836,0.001,5,2012,2351,An Overview of Recent Progress in the Study of Distributed Multi-Agent Coordination,10.1109/tii.2012.2219061
Wei Ren & Randal W. Beard (2007),8691.493,-2894.444,0,5,2007,2740,Distributed Consensus in Multi-vehicle Cooperative Control,10.1007/978-1-84800-015-5
Wei Ren et al. (2007),8634.865,-3025.601,0.003,5,2007,3151,Information consensus in multivehicle cooperative control,10.1109/mcs.2007.338264
Kwang‐Kyo Oh et al. (2014),8537.094,-2947.602,0,5,2014,2351,A survey of multi-agent formation control,10.1016/j.automatica.2014.10.022
Wei Ren & Ella Atkins (2006),8503.64,-3277.641,0,5,2006,1469,Distributed multi‐vehicle coordinated control<i>via</i>local information exchange,10.1002/rnc.1147
Thomas L. Saaty (2004),6938.038,-4671.006,0,5,2004,1725,Decision making — the Analytic Hierarchy and Network Processes (AHP/ANP),10.1007/s11518-006-0151-5
Thomas L. Saaty (1994),7215.668,-4930.841,0,5,1994,2144,How to Make a Decision: The Analytic Hierarchy Process,10.1287/inte.24.6.19
Claudio Altafini (2012),7587.508,-2009.931,0,5,2012,2007,Consensus Problems on Networks With Antagonistic Interactions,10.1109/tac.2012.2224251
J.A. Fax & Richard M. Murray (2004),8064.062,-3128.219,0.002,5,2004,4558,Information Flow and Cooperative Control of Vehicle Formations,10.1109/tac.2004.834433
Wei Ren & Randal W. Beard (2005),8400.041,-3183.617,0.008,5,2005,6478,Consensus seeking in multiagent systems under dynamically changing interaction topologies,10.1109/tac.2005.846556
Ali Jadbabaie et al. (2003),8403.381,-2965.853,0.001,5,2003,8359,Coordination of groups of mobile autonomous agents using nearest neighbor rules,10.1109/tac.2003.812781
Reza Olfati‐Saber & Richard M. Murray (2004),8035.068,-2910.92,0.05,5,2004,12592,Consensus Problems in Networks of Agents With Switching Topology and Time-Delays,10.1109/tac.2004.834113
A. A. Schaffer (2001),4698.406,-6597.927,0.001,1,2001,1397,Improving the accuracy of PSI-BLAST protein database searches with composition-based statistics and other refinements,10.1093/nar/29.14.2994
Cédric Notredame et al. (2000),4816.249,-7029.591,0.006,1,2000,6987,T-coffee: a novel method for fast and accurate multiple sequence alignment 1 1Edited by J. Thornton,10.1006/jmbi.2000.4042
Roland Lüthy et al. (1992),3525.656,-6650.917,0.005,1,1992,3477,Assessment of protein models with three-dimensional profiles,10.1038/356083a0
Christos Colovos & Todd O. Yeates (1993),3690.5,-7134.199,0,1,1993,4309,Verification of protein structures: Patterns of nonbonded atomic interactions,10.1002/pro.5560020916
Burkhard Rost (1999),3071.256,-5537.833,0,1,1999,1825,Twilight zone of protein sequence alignments,10.1093/protein/12.2.85
Liisa Holm & Chris Sander (1993),3416.397,-4861.365,0.014,1,1993,3984,Protein Structure Comparison by Alignment of Distance Matrices,10.1006/jmbi.1993.1489
Burkhard Rost & Chris Sander (1993),2212.433,-4093.809,0.012,1,1993,2941,Prediction of Protein Secondary Structure at Better than 70% Accuracy,10.1006/jmbi.1993.1413
Jimin Pei et al. (2008),3883.25,-6762.757,0,1,2008,1349,PROMALS3D: a tool for multiple protein sequence and structure alignments,10.1093/nar/gkn072
Ilya N. Shindyalov & Philip E. Bourne (1998),3225.826,-6698.208,0,1,1998,2077,Protein structure alignment by incremental combinatorial extension (CE) of the optimal path,10.1093/protein/11.9.739
Carol A. Rohl et al. (2004),1933.701,-6079.324,0.008,1,2004,1776,Protein Structure Prediction Using Rosetta,10.1016/s0076-6879(04)83004-0
Chin‐Sheng Yu et al. (2006),3677.317,-5013.496,0.002,1,2006,1800,Prediction of protein subcellular localization,10.1002/prot.21018
Lukas Zimmermann et al. (2017),3410.159,-6536.227,0.013,1,2017,2640,A Completely Reimplemented MPI Bioinformatics Toolkit with a New HHpred Server at its Core,10.1016/j.jmb.2017.12.007
Johannes Söding et al. (2005),3039.825,-6243.069,0.005,1,2005,3777,The HHpred interactive server for protein homology detection and structure prediction,10.1093/nar/gki408
Marco Biasini et al. (2014),3537.847,-6946.806,0.008,1,2014,4676,SWISS-MODEL: modelling protein tertiary and quaternary structure using evolutionary information,10.1093/nar/gku340
Nicolas Guex et al. (2009),3840.539,-7204.249,0,1,2009,2116,Automated comparative protein structure modeling with SWISS‐MODEL and Swiss‐PdbViewer: A historical perspective,10.1002/elps.200900140
Konstantin Arnold et al. (2005),3634.887,-6906.816,0,1,2005,7064,The SWISS-MODEL workspace: a web-based environment for protein structure homology modelling,10.1093/bioinformatics/bti770
Alexey G. Murzin et al. (1995),3419.349,-6333.709,0.003,1,1995,6315,SCOP: A structural classification of proteins database for the investigation of sequences and structures,10.1016/s0022-2836(05)80134-2
Lawrence A. Kelley & Michael J.E. Sternberg (2009),3620.2,-7030.797,0,1,2009,4189,Protein structure prediction on the Web: a case study using the Phyre server,10.1038/nprot.2009.2
Johannes Söding (2004),3746.605,-6609.817,0.018,1,2004,2494,Protein homology detection by HMM–HMM comparison,10.1093/bioinformatics/bti125
Samuel Karlin & Stephen F. Altschul (1990),4366.417,-6532.96,0,1,1990,1545,Methods for assessing the statistical significance of molecular sequence features by using general scoring schemes.,10.1073/pnas.87.6.2264
Desmond G. Higgins et al. (1996),5191.828,-6983.103,0.006,1,1996,1574,[22] Using CLUSTAL for multiple sequence alignments,10.1016/s0076-6879(96)66024-8
W. John Wilbur & David J. Lipman (1983),4585.789,-6683.249,0,1,1983,1577,Rapid similarity searches of nucleic acid and protein data banks.,10.1073/pnas.80.3.726
Brejnev Muhire et al. (2014),5914.031,-7060.549,0,1,2014,1709,SDT: A Virus Classification Tool Based on Pairwise Sequence Alignment and Identity Calculation,10.1371/journal.pone.0108277
András Fiser & Andrej Săli (2003),3273.592,-6071.462,0.002,1,2003,1732,Modeller: Generation and Refinement of Homology-Based Protein Structure Models,10.1016/s0076-6879(03)74020-8
Osamu Gotoh (1982),4642.753,-6972.869,0,1,1982,1747,An improved algorithm for matching biological sequences,10.1016/0022-2836(82)90398-9
Da-Fei Feng & Russell F. Doolittle (1987),5274.098,-7088.882,0,1,1987,1899,Progressive sequence alignment as a prerequisitetto correct phylogenetic trees,10.1007/bf02603120
William R. Pearson (1990),4289.948,-6114.341,0,1,1990,1963,[5] Rapid and sensitive sequence comparison with FASTP and FASTA,10.1016/0076-6879(90)83007-v
Ting‐Di Wu & C.K. Watanabe (2005),4267.35,-5855.102,0.002,1,2005,2595,GMAP: a genomic mapping and alignment program for mRNA and EST sequences,10.1093/bioinformatics/bti310
Desmond G. Higgins & Paul M. Sharp (1988),5190,-7328.11,0.008,1,1988,3429,CLUSTAL: a package for performing multiple sequence alignment on a microcomputer,10.1016/0378-1119(88)90330-7
Kazutaka Katoh & Hidehiro Toh (2008),5156.869,-7036.341,0,1,2008,3592,Recent developments in the MAFFT multiple sequence alignment program,10.1093/bib/bbn013
Yang Zhang (2005),2274.004,-5665.021,0.007,1,2005,3819,TM-align: a protein structure alignment algorithm based on the TM-score,10.1093/nar/gki524
Kazutaka Katoh (2005),5202.144,-7161.903,0.007,1,2005,4908,MAFFT version 5: improvement in accuracy of multiple sequence alignment,10.1093/nar/gki198
Yang Zhang (2008),3056.327,-6614.479,0,1,2008,5179,I-TASSER server for protein 3D structure prediction,10.1186/1471-2105-9-40
F. Corpet (1988),4966.645,-6941.726,0,1,1988,5364,Multiple sequence alignment with hierarchical clustering,10.1093/nar/16.22.10881
Gerard Talavera & José Castresana (2007),6041.749,-7086.201,0.004,1,2007,5656,Improvement of Phylogenies after Removing Divergent and Ambiguously Aligned Blocks from Protein Sequence Alignments,10.1080/10635150701472164
Garib N. Murshudov et al. (2011),3586.635,-6940.316,0.004,1,2011,8521,<i>REFMAC</i>5 for the refinement of macromolecular crystal structures,10.1107/s0907444911001314
Torbjørn Rognes et al. (2016),5278.886,-6056.078,0.002,1,2016,10410,VSEARCH: a versatile open source tool for metagenomics,10.7717/peerj.2584
Johannes Alneberg et al. (2014),5797.979,-7050.604,0,1,2014,2779,Binning metagenomic contigs by coverage and composition,10.1038/nmeth.3103
Dongwan Kang et al. (2015),5966.719,-7388.067,0,1,2015,1987,"MetaBAT, an efficient tool for accurately reconstructing single genomes from complex microbial communities",10.7717/peerj.1165
Stephen F. Altschul (1997),4105.509,-6442.421,0.192,1,1997,73786,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,10.1093/nar/25.17.3389
Johan Bengtsson‐Palme et al. (2013),3963.595,-6140.967,0,1,2013,1358,Improved software detection and extraction of ITS1 and <scp>ITS</scp> 2 from ribosomal <scp>ITS</scp> sequences of fungi and other eukaryotes for analysis of environmental sequencing data,10.1111/2041-210x.12073
Aron Marchler‐Bauer & Stephen H. Bryant (2004),4386.062,-6821.968,0.003,1,2004,2104,CD-Search: protein domain annotations on the fly,10.1093/nar/gkh454
Scott McGinnis & Thomas Madden (2004),4528.184,-6987.398,0,1,2004,2162,BLAST: at the core of a powerful and diverse set of sequence analysis tools,10.1093/nar/gkh435
Margaret E. Johnson et al. (2008),4628.953,-6886.219,0.002,1,2008,4326,NCBI BLAST: a better web interface,10.1093/nar/gkn201
Michael Lynch & John S. Conery (2000),5827.505,-3669.567,0.002,2,2000,5146,The Evolutionary Fate and Consequences of Duplicate Genes,10.1126/science.290.5494.1151
Fred J. Damerau (1964),4295.318,-3416.731,0,1,1964,1545,A technique for computer detection and correction of spelling errors,10.1145/363958.363994
Dan Gusfield (1997),4153.042,-2264.554,0,1,1997,3529,"Algorithms on strings, trees, and sequences computer science and computational biology",
Sara C. Madeira & Arlindo L. Oliveira (2004),3731.965,-2582.125,0,1,2004,2052,Biclustering algorithms for biological data analysis: a survey,10.1109/tcbb.2004.2
Yao Cheng & George M. Church (2000),3241.109,-2963.85,0,1,2000,2056,Biclustering of expression data.,
